금연구역명,위도,경도
방죽,37.5591586,127.15982679999999
강덕,37.559353,127.175697
강일,37.569596000000004,127.1744407427
게내,37.5492477,127.17147549999999
고명,37.552434999999996,127.143378
고분다리,37.54540502,127.131874
곰돌이,37.556197999999995,127.15496200000001
광나루,37.550071,127.12554540000002
광진,37.542992,127.122541
구암,37.556532000000004,127.13765500000001
까치,37.557076,127.150006
까치,37.5477811033,127.1621552338
꽃보라,37.565401,127.17577299999999
꿈나래,37.560865,127.153795
꿈터,37.560859,127.180301
나루,37.547016,127.123608
능골,37.556876,127.17471499999999
다솜,37.568889,127.17467099999999
달님,37.53621038,127.142547
당말,37.53912769,127.133261
동명,37.561065,127.164427
동산,37.547163,127.12968799999999
동자,37.559769,127.15244399999999
동자,37.552428000000006,127.16703799999999
두레,37.557982,127.15234699999999
둔촌,37.531416,127.14331100000001
말우물,37.5600003,127.169486
명우,37.551594,127.141452
명일,37.55125770000001,127.16340919999999
무궁화,37.542327,127.1454038
무지개,37.559266,127.164181
미리내,37.554777,127.167892
방아다리,37.5481283,127.15366200000001
벌말,37.559933,127.177198
볕우물,37.553601,127.135719
보람,37.52471702,127.13138799999999
상일,37.546944,127.16733899999998
새장터,37.55212624,127.13056529999999
샘물,37.551015899999996,127.14474140000002
샘터,37.561813,127.158933
샛마을,37.550295,127.147121
샛별,37.527045,127.127081
선린,37.52851478,127.13276299999998
선사,37.55576061,127.12999750000002
성내,37.5294429,127.126585
성내천,37.526838,127.12403799999998
성심,37.53831458,127.1373779
성안,37.531366,127.134773
솔말소,37.556527,127.13911599999999
솜다래,37.553777000000004,127.141245
송림,37.55504732,127.15394939999999
안말,37.531223,127.12993300000001
암사,37.552756,127.13798899999999
암사,37.552756200000005,127.13797959999998
염주골,37.549908,127.1456059
원터,37.5524155,127.1430368
윤슬,37.562656,127.17756200000001
은하수,37.552017,127.14350309999999
진달래,37.552150700000006,127.14367469999999
천사,37.54380935,127.12840859999999
천암,37.547806,127.136889
천일,37.54498878,127.13626289999999
천호골목,37.5405287,127.13141809999999
천호삼거리,37.545464,127.13852299999999
천호큰골목,37.545064,127.138597
파랑새,37.547932,127.15087199999999
하늬,37.546114,127.15972857450001
한우물,37.561652,127.162745
혜림,37.54460149,127.139959
화랑,37.540021,127.123217
희망,37.5389771112,127.142246
암사동,37.5488807704,127.123312308
일자산,37.5330568,127.1513563
성내도서관,37.53284547,127.133316
해공도서관,37.54394767,127.12553840000001
강일도서관,37.5650504,127.17390719999999
암사도서관,37.552884999999996,127.133351
강동도서관,37.5380818,127.14350220000001
고덕평생학습관,37.556127000000004,127.1580412
명성교회도서관,37.54690773,127.14625600000001
명성교회도서관 별관,37.547071,127.1464031
한국점자도서관,37.55073399,127.12483700000001
한국시각장애인복지재단 점자도서관,37.55117417,127.16874080000001
천일어린이도서관,37.54498878,127.13626289999999
현대백화점,37.53897505,127.12444099999999
이마트 천호점,37.53872905,127.1251462
이마트 명일점,37.55470672,127.15561310000001
홈플러스 강동점,37.54571459,127.14223600000001
2001 아울렛,37.54159201,127.1255364
주양쇼핑,37.552376,127.15346100000001
현대프라자,37.53923502,127.1291102
코오롱상가,37.53911634,127.1282973
둔촌종합상가,37.52474868,127.13597859999999
둔촌시장주상복합(파크프라자),37.526853,127.13467209999999
강동한신휴플러스 주상복합,37.536046999999996,127.137431
이안강동 주상복합,37.53557714,127.1279523
동서울오네뜨,37.54260895,127.14365900000001
