자치구코드,총생활인구수,법정구명
11110,2336297451.4887,종로구
11140,2136769254.0718,중구
11170,2440060777.5818,용산구
11200,2979330433.9897003,성동구
11215,3104212341.7286997,광진구
11230,3007720259.7348,동대문구
11260,3078592637.0947,중랑구
11290,3643143938.7739,성북구
11305,2577277363.7247,강북구
11320,2408412362.5562,도봉구
11350,4450781822.2369995,노원구
11380,3812187656.4989996,은평구
11410,3097641181.2015004,서대문구
11440,3840847329.0512,마포구
11470,3365477076.5002003,양천구
11500,4719217593.5762005,강서구
11530,3350118808.9852,구로구
11545,1915444111.9162,금천구
11560,4013719088.5624003,영등포구
11590,3306288689.3615,동작구
11620,4108477369.3201,관악구
11650,4867990374.4488,서초구
11680,6886596043.7376995,강남구
11710,6439607996.364201,송파구
11740,4406850931.7162,강동구
